,TRUE,,1,
131,0.982028,,0.9825,
132,0.971438,,0.9725,
133,0.959014,,0.96,
134,0.944803,,0.945,
135,0.928864,,0.93,
136,0.911258,,0.9125,
137,0.892057,,0.8925,
138,0.871334,,0.8725,
139,0.849174,,0.85,
140,0.825662,,0.825,
141,0.800893,,0.8,
142,0.774963,,0.775,
143,0.747977,,0.7475,
144,0.72004,,0.72,
145,0.691262,,0.6925,
146,0.661758,,0.6625,
147,0.631645,,0.6325,
148,0.601041,,0.6,
149,0.570067,,0.57,
150,0.538845,,0.54,
151,0.5075,,0.5075,
152,0.476155,,0.475,
153,0.444933,,0.445,
154,0.413959,,0.415,
155,0.383355,,0.3825,
156,0.353242,,0.3525,
157,0.323738,,0.3225,
158,0.29496,,0.295,
159,0.267023,,0.2675,
160,0.240037,,0.24,
161,0.214107,,0.215,
162,0.189338,,0.19,
163,0.165826,,0.165,
164,0.143666,,0.1425,
165,0.122943,,0.1225,
166,0.103742,,0.1025,
167,0.086136,,0.085,
168,0.0701967,,0.07,
169,0.0559865,,0.055,
170,0.0435618,,0.0425,
171,0.0329717,,0.0325,
172,0.0242584,,0.025,
173,0.0174564,,0.0175,
174,0.0125926,,0.0125,
175,0.00968664,,0.01,
176,0.00875,,0.01,
177,0.00978664,,0.01,
178,0.0127926,,0.0125,
179,0.0177564,,0.0175,
180,0.0246584,,0.025,
181,0.0334717,,0.0325,
182,0.0441618,,0.045,
183,0.0566865,,0.0575,
184,0.0709967,,0.07,
185,0.087036,,0.0875,
186,0.104742,,0.105,
187,0.124043,,0.125,
188,0.144866,,0.145,
189,0.167126,,0.1675,
190,0.190738,,0.19,
191,0.215607,,0.215,
192,0.241637,,0.2425,
193,0.268723,,0.2675,
194,0.29676,,0.2975,
195,0.325638,,0.325,
196,0.355242,,0.355,
197,0.385455,,0.385,
198,0.416159,,0.415,
199,0.447233,,0.4475,
200,0.478555,,0.4775,
201,0.51,,0.51,
202,0.541445,,0.5425,
203,0.572767,,0.5725,
204,0.603841,,0.605,
205,0.634545,,0.635,
206,0.664758,,0.665,
207,0.694362,,0.695,
208,0.72324,,0.7225,
209,0.751277,,0.7525,
210,0.778363,,0.7775,
211,0.804393,,0.805,
212,0.829262,,0.83,
213,0.852874,,0.8525,
214,0.875134,,0.875,
215,0.895957,,0.895,
216,0.915258,,0.915,
217,0.932964,,0.9325,
218,0.949003,,0.95,
219,0.963314,,0.9625,
220,0.975838,,0.975,
221,0.986528,,0.9875,
222,0.995342,,0.99,
223,1.00224,,1.0025,
224,1.00721,,0.99625,
225,1.01021,,1.01,
226,1.01125,,1.0125,
227,1.01031,,1.01,
228,1.00741,,1.0075,
229,1.00254,,1.0025,
230,0.995742,,0.99,
231,0.987028,,0.9875,
232,0.976438,,0.9775,
233,0.964014,,0.965,
234,0.949803,,0.95,
235,0.933864,,0.935,
236,0.916258,,0.9175,
237,0.897057,,0.8975,
238,0.876334,,0.8775,
239,0.854174,,0.855,
240,0.830662,,0.83,
241,0.805893,,0.805,
242,0.779963,,0.78,
243,0.752977,,0.7525,
244,0.72504,,0.725,
245,0.696262,,0.6975,
246,0.666758,,0.6675,
247,0.636645,,0.6375,
248,0.606041,,0.605,
249,0.575067,,0.575,
250,0.543845,,0.545,
251,0.5125,,0.5125,
252,0.481155,,0.48,
253,0.449933,,0.45,
254,0.418959,,0.42,
255,0.388355,,0.3875,
256,0.358242,,0.3575,
257,0.328738,,0.3275,
258,0.29996,,0.3,
259,0.272023,,0.2725,
260,0.245037,,0.245,
261,0.219107,,0.22,
262,0.194338,,0.195,
263,0.170826,,0.17,
264,0.148666,,0.1475,
265,0.127943,,0.1275,
266,0.108742,,0.1075,
267,0.091136,,0.09,
268,0.0751967,,0.075,
269,0.0609865,,0.06,
270,0.0485618,,0.0475,
271,0.0379717,,0.0375,
272,0.0292584,,0.03,
273,0.0224564,,0.0225,
274,0.0175926,,0.01,
275,0.0146866,,0.0125,
276,0.01375,,0.0125,
277,0.0147866,,0.0175,
278,0.0177926,,0.00875,
279,0.0227564,,0.0225,
280,0.0296584,,0.03,
281,0.0384717,,0.0375,
282,0.0491618,,0.05,
283,0.0616865,,0.0625,
284,0.0759967,,0.075,
285,0.092036,,0.0925,
286,0.109742,,0.11,
287,0.129043,,0.13,
288,0.149866,,0.15,
289,0.172126,,0.1725,
290,0.195738,,0.195,
291,0.220607,,0.22,
292,0.246637,,0.2475,
293,0.273723,,0.2725,
294,0.30176,,0.3025,
295,0.330638,,0.33,
296,0.360242,,0.36,
297,0.390455,,0.39,
298,0.421159,,0.42,
299,0.452233,,0.4525,
300,0.483555,,0.4825,
301,0.515,,0.515,
302,0.546445,,0.5475,
303,0.577767,,0.5775,
304,0.608841,,0.61,
305,0.639545,,0.64,
306,0.669758,,0.67,
307,0.699362,,0.7,
308,0.72824,,0.7275,
309,0.756277,,0.7575,
310,0.783363,,0.7825,
311,0.809393,,0.81,
312,0.834262,,0.835,
313,0.857874,,0.8575,
314,0.880134,,0.88,
315,0.900957,,0.9,
316,0.920258,,0.92,
317,0.937964,,0.9375,
318,0.954003,,0.955,
319,0.968314,,0.9675,
320,0.980838,,0.98,
321,0.991528,,0.99,
322,1.00034,,1,
323,1.00724,,1.0075,
324,1.01221,,1.0125,
325,1.01521,,1.015,
326,1.01625,,1.0175,
327,1.01531,,1.015,
328,1.01241,,1.0125,
329,1.00754,,1.0075,
330,1.00074,,0.995,
331,0.992028,,0.98875,
332,0.981438,,0.9825,
333,0.969014,,0.97,
334,0.954803,,0.955,
335,0.938864,,0.94,
336,0.921258,,0.9225,
337,0.902057,,0.9025,
338,0.881334,,0.8825,
339,0.859174,,0.86,
340,0.835662,,0.835,
341,0.810893,,0.81,
342,0.784963,,0.785,
343,0.757977,,0.7575,
344,0.73004,,0.73,
345,0.701262,,0.7025,
346,0.671758,,0.6725,
347,0.641645,,0.6425,
348,0.611041,,0.61,
349,0.580067,,0.58,
350,0.548845,,0.55,
351,0.5175,,0.5175,
352,0.486155,,0.485,
353,0.454933,,0.455,
354,0.423959,,0.425,
355,0.393355,,0.3925,
356,0.363242,,0.3625,
357,0.333738,,0.3325,
358,0.30496,,0.305,
359,0.277023,,0.2775,
360,0.250037,,0.25,
361,0.224107,,0.225,
362,0.199338,,0.2,
363,0.175826,,0.175,
364,0.153666,,0.1525,
365,0.132943,,0.1325,
366,0.113742,,0.1125,
367,0.096136,,0.095,
368,0.0801967,,0.08,
369,0.0659865,,0.065,
370,0.0535618,,0.0525,
371,0.0429717,,0.0425,
372,0.0342584,,0.035,
373,0.0274564,,0.0275,
374,0.0225926,,0.0225,
375,0.0196866,,0.02,
376,0.01875,,0.02,
377,0.0197866,,0.02,
378,0.0227926,,0.02,
379,0.0277564,,0.0275,
380,0.0346584,,0.0275,
381,0.0434717,,0.0425,
382,0.0541618,,0.055,
383,0.0666865,,0.0675,
384,0.0809967,,0.08,
385,0.097036,,0.0975,
386,0.114742,,0.115,
387,0.134043,,0.135,
388,0.154866,,0.155,
389,0.177126,,0.1775,
390,0.200738,,0.2,
391,0.225607,,0.225,
392,0.251637,,0.2525,
393,0.278723,,0.2775,
394,0.30676,,0.3075,
395,0.335638,,0.335,
396,0.365242,,0.365,
397,0.395455,,0.395,
398,0.426159,,0.425,
399,0.457233,,0.4575,
400,0.488555,,0.4875,
401,0.52,,0.52,
402,0.551445,,0.5525,
403,0.582767,,0.5825,
404,0.613841,,0.615,
405,0.644545,,0.645,
406,0.674758,,0.675,
407,0.704362,,0.705,
408,0.73324,,0.7325,
409,0.761277,,0.7625,
410,0.788363,,0.7875,
411,0.814393,,0.815,
412,0.839262,,0.84,
413,0.862874,,0.8625,
414,0.885134,,0.885,
415,0.905957,,0.905,
416,0.925258,,0.925,
417,0.942964,,0.9425,
418,0.959003,,0.96,
419,0.973314,,0.9725,
420,0.985838,,0.9875,
421,0.996528,,0.995,
422,1.00534,,1.01375,
423,1.01224,,1.0125,
424,1.01721,,1.0175,
425,1.02021,,1.0125,
426,1.02125,,1.0225,
427,1.02031,,1.01375,
428,1.01741,,1.0175,
429,1.01254,,1.01375,
430,1.00574,,1.005,
431,0.997028,,0.995,
432,0.986438,,0.9875,
433,0.974014,,0.975,
434,0.959803,,0.96,
435,0.943864,,0.945,
436,0.926258,,0.9275,
437,0.907057,,0.9075,
438,0.886334,,0.8875,
439,0.864174,,0.865,
440,0.840662,,0.84,
441,0.815893,,0.815,
442,0.789963,,0.79,
443,0.762977,,0.7625,
444,0.73504,,0.735,
445,0.706262,,0.7075,
446,0.676758,,0.6775,
447,0.646645,,0.6475,
448,0.616041,,0.615,
449,0.585067,,0.585,
450,0.553845,,0.555,
451,0.5225,,0.5225,
452,0.491155,,0.49,
453,0.459933,,0.46,
454,0.428959,,0.43,
455,0.398355,,0.3975,
456,0.368242,,0.3675,
457,0.338738,,0.3375,
458,0.30996,,0.31,
459,0.282023,,0.2825,
460,0.255037,,0.255,
461,0.229107,,0.23,
462,0.204338,,0.205,
463,0.180826,,0.18,
464,0.158666,,0.1575,
465,0.137943,,0.1375,
466,0.118742,,0.1175,
467,0.101136,,0.1,
468,0.0851967,,0.085,
469,0.0709865,,0.07,
470,0.0585618,,0.0575,
471,0.0479717,,0.0475,
472,0.0392584,,0.04,
473,0.0324564,,0.0275,
474,0.0275926,,0.02125,
475,0.0246866,,0.0175,
476,0.02375,,0.02,
477,0.0247866,,0.0175,
478,0.0277926,,0.0225,
479,0.0327564,,0.0325,
480,0.0396584,,0.0475,
481,0.0484717,,0.0475,
482,0.0591618,,0.06,
483,0.0716865,,0.0725,
484,0.0859967,,0.085,
485,0.102036,,0.1025,
486,0.119742,,0.12,
487,0.139043,,0.14,
488,0.159866,,0.16,
489,0.182126,,0.1825,
490,0.205738,,0.205,
491,0.230607,,0.23,
492,0.256637,,0.2575,
493,0.283723,,0.2825,
494,0.31176,,0.3125,
495,0.340638,,0.34,
496,0.370242,,0.37,
497,0.400455,,0.4,
498,0.431159,,0.43,
499,0.462233,,0.4625,
500,0.493555,,0.4925,
501,0.525,,0.525,
502,0.556445,,0.5575,
503,0.587767,,0.5875,
504,0.618841,,0.62,
505,0.649545,,0.65,
506,0.679758,,0.68,
507,0.709362,,0.71,
508,0.73824,,0.7375,
509,0.766277,,0.7675,
510,0.793363,,0.7925,
511,0.819393,,0.82,
512,0.844262,,0.845,
513,0.867874,,0.8675,
514,0.890134,,0.89,
515,0.910957,,0.91,
516,0.930258,,0.93,
517,0.947964,,0.9475,
518,0.964003,,0.965,
519,0.978314,,0.9625,
520,0.990838,,0.98625,
521,1.00153,,1.0025,
522,1.01034,,1.01,
523,1.01724,,1.0125,
524,1.02221,,1.0125,
525,1.02521,,1.02,
526,1.02625,,1.0275,
527,1.02531,,1.0175,
528,1.02241,,1.01,
529,1.01754,,1.01875,
530,1.01074,,1.01,
531,1.00203,,0.99,
532,0.991438,,0.9925,
533,0.979014,,0.9875,
534,0.964803,,0.97625,
535,0.948864,,0.9575,
536,0.931258,,0.9325,
537,0.912057,,0.9125,
538,0.891334,,0.8925,
539,0.869174,,0.87,
540,0.845662,,0.845,
541,0.820893,,0.82,
542,0.794963,,0.795,
543,0.767977,,0.7675,
544,0.74004,,0.74,
545,0.711262,,0.7125,
546,0.681758,,0.6825,
547,0.651645,,0.6525,
548,0.621041,,0.62,
549,0.590067,,0.59,
550,0.558845,,0.56,
551,0.5275,,0.5275,
552,0.496155,,0.495,
553,0.464933,,0.465,
554,0.433959,,0.435,
555,0.403355,,0.4025,
556,0.373242,,0.3725,
557,0.343738,,0.3425,
558,0.31496,,0.315,
559,0.287023,,0.2875,
560,0.260037,,0.26,
561,0.234107,,0.235,
562,0.209338,,0.21,
563,0.185826,,0.185,
564,0.163666,,0.1625,
565,0.142943,,0.1425,
566,0.123742,,0.1225,
567,0.106136,,0.105,
568,0.0901967,,0.09,
569,0.0759865,,0.075,
570,0.0635618,,0.0625,
571,0.0529717,,0.0675,
572,0.0442584,,0.0475,
573,0.0374564,,0.0475,
574,0.0325926,,0.025,
575,0.0296866,,0.02,
576,0.02875,,0.025,
577,0.0297866,,0.0225,
578,0.0327926,,0.0275,
579,0.0377564,,0.0475,
580,0.0446584,,0.04,
581,0.0534717,,0.0675,
582,0.0641618,,0.065,
583,0.0766865,,0.0775,
584,0.0909967,,0.09,
585,0.107036,,0.1075,
586,0.124742,,0.125,
587,0.144043,,0.145,
588,0.164866,,0.165,
589,0.187126,,0.1875,
590,0.210738,,0.21,
591,0.235607,,0.235,
592,0.261637,,0.2625,
593,0.288723,,0.2875,
594,0.31676,,0.3175,
595,0.345638,,0.345,
596,0.375242,,0.375,
597,0.405455,,0.405,
598,0.436159,,0.435,
599,0.467233,,0.4675,
600,0.498555,,0.4975,
601,0.53,,0.53,
602,0.561445,,0.5625,
603,0.592767,,0.5925,
604,0.623841,,0.625,
605,0.654545,,0.655,
606,0.684758,,0.685,
607,0.714362,,0.715,
608,0.74324,,0.7425,
609,0.771277,,0.7725,
610,0.798363,,0.7975,
611,0.824393,,0.825,
612,0.849262,,0.85,
613,0.872874,,0.8725,
614,0.895134,,0.895,
615,0.915957,,0.915,
616,0.935258,,0.935,
617,0.952964,,0.9575,
618,0.969003,,0.97625,
619,0.983314,,0.985,
620,0.995838,,0.9925,
621,1.00653,,1.01,
622,1.01534,,1.015,
623,1.02224,,1.015,
624,1.02721,,1.015,
625,1.03021,,1.015,
626,1.03125,,1.0325,
627,1.03031,,1.0175,
628,1.02741,,1.0275,
629,1.02254,,1.0175,
630,1.01574,,1.0175,
631,1.00703,,1.01,
632,0.996438,,0.9925,
633,0.984014,,0.98,
634,0.969803,,0.97625,
635,0.953864,,0.9575,
636,0.936258,,0.9375,
637,0.917057,,0.9175,
638,0.896334,,0.8975,
639,0.874174,,0.875,
640,0.850662,,0.85,
641,0.825893,,0.825,
642,0.799963,,0.8,
643,0.772977,,0.7725,
644,0.74504,,0.745,
645,0.716262,,0.7175,
646,0.686758,,0.6875,
647,0.656645,,0.6575,
648,0.626041,,0.625,
649,0.595067,,0.595,
650,0.563845,,0.565,
651,0.5325,,0.5325,
652,0.501155,,0.5,
653,0.469933,,0.47,
654,0.438959,,0.44,
655,0.408355,,0.4075,
656,0.378242,,0.3775,
657,0.348738,,0.3475,
658,0.31996,,0.32,
659,0.292023,,0.2925,
660,0.265037,,0.265,
661,0.239107,,0.24,
662,0.214338,,0.215,
663,0.190826,,0.19,
664,0.168666,,0.1675,
665,0.147943,,0.1475,
666,0.128742,,0.1275,
667,0.111136,,0.11,
668,0.0951967,,0.095,
669,0.0809865,,0.0925,
670,0.0685618,,0.085,
671,0.0579717,,0.0675,
672,0.0492584,,0.06,
673,0.0424564,,0.0475,
674,0.0375926,,0.0475,
675,0.0346866,,0.035,
676,0.03375,,0.035,
677,0.0347866,,0.035,
678,0.0377926,,0.0475,
679,0.0427564,,0.045,
680,0.0496584,,0.065,
681,0.0584717,,0.0575,
682,0.0691618,,0.07,
683,0.0816865,,0.0925,
684,0.0959967,,0.095,
685,0.112036,,0.1125,
686,0.129742,,0.13,
687,0.149043,,0.15,
688,0.169866,,0.17,
689,0.192126,,0.1925,
690,0.215738,,0.215,
691,0.240607,,0.24,
692,0.266637,,0.2675,
693,0.293723,,0.2925,
694,0.32176,,0.3225,
695,0.350638,,0.35,
696,0.380242,,0.38,
697,0.410455,,0.41,
698,0.441159,,0.44,
699,0.472233,,0.4725,
700,0.503555,,0.5025,
701,0.535,,0.535,
702,0.566445,,0.5675,
703,0.597767,,0.5975,
704,0.628841,,0.63,
705,0.659545,,0.66,
706,0.689758,,0.69,
707,0.719362,,0.72,
708,0.74824,,0.7475,
709,0.776277,,0.7775,
710,0.803363,,0.8025,
711,0.829393,,0.83,
712,0.854262,,0.855,
713,0.877874,,0.8775,
714,0.900134,,0.9,
715,0.920957,,0.92,
716,0.940258,,0.94,
717,0.957964,,0.9575,
718,0.974003,,0.9675,
719,0.988314,,0.98,
720,1.00084,,0.99,
721,1.01153,,1.015,
722,1.02034,,1.02,
723,1.02724,,1.0175,
724,1.03221,,1.0175,
725,1.03521,,1.02625,
726,1.03625,,1.025,
727,1.03531,,1.02,
728,1.03241,,1.025,
729,1.02754,,1.02,
730,1.02074,,1.01875,
731,1.01203,,1.0125,
732,1.00144,,0.9875,
733,0.989014,,0.9825,
734,0.974803,,0.965,
735,0.958864,,0.97375,
736,0.941258,,0.9425,
737,0.922057,,0.9225,
738,0.901334,,0.9025,
739,0.879174,,0.88,
740,0.855662,,0.855,
741,0.830893,,0.83,
742,0.804963,,0.805,
743,0.777977,,0.7775,
744,0.75004,,0.75,
745,0.721262,,0.7225,
746,0.691758,,0.6925,
747,0.661645,,0.6625,
748,0.631041,,0.63,
749,0.600067,,0.6,
750,0.568845,,0.57,
751,0.5375,,0.5375,
752,0.506155,,0.505,
753,0.474933,,0.475,
754,0.443959,,0.445,
755,0.413355,,0.4125,
756,0.383242,,0.3825,
757,0.353738,,0.3525,
758,0.32496,,0.325,
759,0.297023,,0.2975,
760,0.270037,,0.27,
761,0.244107,,0.245,
762,0.219338,,0.22,
763,0.195826,,0.195,
764,0.173666,,0.1875,
765,0.152943,,0.16625,
766,0.133742,,0.15125,
767,0.116136,,0.115,
768,0.100197,,0.1,
769,0.0859865,,0.085,
770,0.0735618,,0.09125,
771,0.0629717,,0.08,
772,0.0542584,,0.065,
773,0.0474564,,0.03875,
774,0.0425926,,0.0475,
775,0.0396866,,0.0475,
776,0.03875,,0.0475,
777,0.0397866,,0.0475,
778,0.0427926,,0.0475,
779,0.0477564,,0.0625,
780,0.0546584,,0.06,
781,0.0634717,,0.08,
782,0.0741618,,0.09125,
783,0.0866865,,0.0875,
784,0.100997,,0.09,
785,0.117036,,0.1175,
786,0.134742,,0.1525,
787,0.154043,,0.155,
788,0.174866,,0.175,
789,0.197126,,0.1975,
790,0.220738,,0.195,
791,0.245607,,0.2175,
792,0.271637,,0.24375,
793,0.298723,,0.2975,
794,0.32676,,0.3275,
795,0.355638,,0.355,
796,0.385242,,0.385,
797,0.415455,,0.415,
798,0.446159,,0.445,
799,0.477233,,0.4775,
800,0.508555,,0.5075,
801,0.54,,0.54,
802,0.571445,,0.5725,
803,0.602767,,0.6025,
804,0.633841,,0.635,
805,0.664545,,0.665,
806,0.694758,,0.695,
807,0.724362,,0.725,
808,0.75324,,0.7525,
809,0.781277,,0.7825,
810,0.808363,,0.8075,
811,0.834393,,0.835,
812,0.859262,,0.86,
813,0.882874,,0.8825,
814,0.905134,,0.905,
815,0.925957,,0.925,
816,0.945258,,0.945,
817,0.962964,,0.945,
818,0.979003,,0.98125,
819,0.993314,,0.9925,
820,1.00584,,1.01,
821,1.01653,,1.0175,
822,1.02534,,1.025,
823,1.03224,,1.025,
824,1.03721,,1.02375,
825,1.04021,,1.03,
826,1.04125,,1.025,
827,1.04031,,1.025,
828,1.03741,,1.025,
829,1.03254,,1.025,
830,1.02574,,1.025,
831,1.01703,,1.0175,
832,1.00644,,1.01,
833,0.994014,,0.99,
834,0.979803,,0.985,
835,0.963864,,0.97125,
836,0.946258,,0.965,
837,0.927057,,0.9275,
838,0.906334,,0.9075,
839,0.884174,,0.885,
840,0.860662,,0.86,
841,0.835893,,0.835,
842,0.809963,,0.81,
843,0.782977,,0.7825,
844,0.75504,,0.755,
845,0.726262,,0.7275,
846,0.696758,,0.6975,
847,0.666645,,0.6675,
848,0.636041,,0.635,
849,0.605067,,0.605,
850,0.573845,,0.575,
851,0.5425,,0.5425,
852,0.511155,,0.51,
853,0.479933,,0.48,
854,0.448959,,0.45,
855,0.418355,,0.4175,
856,0.388242,,0.3875,
857,0.358738,,0.3575,
858,0.32996,,0.33,
859,0.302023,,0.3025,
860,0.275037,,0.275,
861,0.249107,,0.25,
862,0.224338,,0.225,
863,0.200826,,0.2,
864,0.178666,,0.1975,
865,0.157943,,0.1575,
866,0.138742,,0.1625,
867,0.121136,,0.12,
868,0.105197,,0.09,
869,0.0909865,,0.09,
870,0.0785618,,0.0925,
871,0.0679717,,0.08,
872,0.0592584,,0.0775,
873,0.0524564,,0.065,
874,0.0475926,,0.045,
875,0.0446866,,0.0475,
876,0.04375,,0.0475,
877,0.0447866,,0.0475,
878,0.0477926,,0.0625,
879,0.0527564,,0.065,
880,0.0596584,,0.0775,
881,0.0684717,,0.0725,
882,0.0791618,,0.0925,
883,0.0916865,,0.0925,
884,0.105997,,0.0875,
885,0.122036,,0.1075,
886,0.139742,,0.1625,
887,0.159043,,0.16,
888,0.179866,,0.18,
889,0.202126,,0.2025,
890,0.225738,,0.225,
891,0.250607,,0.25,
892,0.276637,,0.2775,
893,0.303723,,0.2675,
894,0.33176,,0.3325,
895,0.360638,,0.3325,
896,0.390242,,0.39,
897,0.420455,,0.42,
898,0.451159,,0.45,
899,0.482233,,0.44625,
900,0.513555,,0.48125,
901,0.545,,0.50875,
902,0.576445,,0.5775,
903,0.607767,,0.6075,
904,0.638841,,0.64,
905,0.669545,,0.67,
906,0.699758,,0.7,
907,0.729362,,0.73,
908,0.75824,,0.7575,
909,0.786277,,0.7875,
910,0.813363,,0.7775,
911,0.839393,,0.805,
912,0.864262,,0.865,
913,0.887874,,0.8875,
914,0.910134,,0.91,
915,0.930957,,0.9075,
916,0.950258,,0.9575,
917,0.967964,,0.9725,
918,0.984003,,0.9825,
919,0.998314,,0.99,
920,1.01084,,1.01,
921,1.02153,,1.0175,
922,1.03034,,1.03,
923,1.03724,,1.025,
924,1.04221,,1.025,
925,1.04521,,1.0325,
926,1.04625,,1.03625,
927,1.04531,,1.03625,
928,1.04241,,1.03625,
929,1.03754,,1.03625,
930,1.03074,,1.0275,
931,1.02203,,1.02375,
932,1.01144,,1.0125,
933,0.999014,,0.99,
934,0.984803,,0.975,
935,0.968864,,0.955,
936,0.951258,,0.96125,
937,0.932057,,0.945,
938,0.911334,,0.9125,
939,0.889174,,0.89,
940,0.865662,,0.865,
941,0.840893,,0.805,
942,0.814963,,0.7775,
943,0.787977,,0.7875,
944,0.76004,,0.76,
945,0.731262,,0.7325,
946,0.701758,,0.7025,
947,0.671645,,0.6725,
948,0.641041,,0.64,
949,0.610067,,0.61,
950,0.578845,,0.58,
951,0.5475,,0.5475,
952,0.516155,,0.515,
953,0.484933,,0.485,
954,0.453959,,0.455,
955,0.423355,,0.4225,
956,0.393242,,0.3925,
957,0.363738,,0.3625,
958,0.33496,,0.335,
959,0.307023,,0.3075,
960,0.280037,,0.28,
961,0.254107,,0.255,
962,0.229338,,0.23,
963,0.205826,,0.205,
964,0.183666,,0.1825,
965,0.162943,,0.1775,
966,0.143742,,0.1625,
967,0.126136,,0.145,
968,0.110197,,0.09,
969,0.0959865,,0.095,
970,0.0835618,,0.09875,
971,0.0729717,,0.08625,
972,0.0642584,,0.07875,
973,0.0574564,,0.065,
974,0.0525926,,0.045,
975,0.0496866,,0.0425,
976,0.04875,,0.0425,
977,0.0497866,,0.0425,
978,0.0527926,,0.065,
979,0.0577564,,0.075,
980,0.0646584,,0.05875,
981,0.0734717,,0.09,
982,0.0841618,,0.1025,
983,0.0966865,,0.085,
984,0.110997,,0.0925,
985,0.127036,,0.15,
986,0.144742,,0.1675,
987,0.164043,,0.1975,
988,0.184866,,0.185,
989,0.207126,,0.17875,
990,0.230738,,0.205,
991,0.255607,,0.23,
992,0.281637,,0.2825,
993,0.308723,,0.3075,
994,0.33676,,0.3375,
995,0.365638,,0.365,
996,0.395242,,0.395,
997,0.425455,,0.425,
998,0.456159,,0.455,
999,0.487233,,0.4875,
1000,0.518555,,0.5175,
1001,0.55,,0.55,
1002,0.581445,,0.5825,
1003,0.612767,,0.6125,
1004,0.643841,,0.645,
1005,0.674545,,0.675,
1006,0.704758,,0.705,
1007,0.734362,,0.735,
1008,0.76324,,0.7625,
1009,0.791277,,0.7925,
1010,0.818363,,0.8175,
1011,0.844393,,0.845,
1012,0.869262,,0.87,
1013,0.892874,,0.8725,
1014,0.915134,,0.8975,
1015,0.935957,,0.9175,
1016,0.955258,,0.9675,
1017,0.972964,,0.9725,
1018,0.989003,,0.985,
1019,1.00331,,0.9875,
1020,1.01584,,1.015,
1021,1.02653,,1.03,
1022,1.03534,,1.0325,
1023,1.04224,,1.035,
1024,1.04721,,1.035,
1025,1.05021,,1.045,
